Date 	Open 	High 	Low 	Close 	Adj Close 	Volume
Dec 27, 2021 	50.5000 	50.5000 	45.8000 	47.1000 	47.1000 	5,420
Dec 23, 2021 	53.0000 	53.0000 	49.5100 	50.1000 	50.1000 	2,090
Dec 22, 2021 	55.0000 	55.5000 	51.3000 	52.0000 	52.0000 	1,700
Dec 21, 2021 	50.2000 	56.2000 	46.8000 	56.0000 	56.0000 	11,480
Dec 20, 2021 	49.2000 	49.3000 	47.0000 	47.4000 	47.4000 	2,510
Dec 17, 2021 	48.5000 	50.0500 	45.8000 	49.2000 	49.2000 	4,670
Dec 16, 2021 	51.0000 	51.5500 	48.1000 	48.8000 	48.8000 	7,180
Dec 15, 2021 	49.7000 	53.0000 	49.5000 	50.7000 	50.7000 	3,230
Dec 14, 2021 	54.4000 	54.4000 	49.0000 	49.7000 	49.7000 	4,310
Dec 13, 2021 	53.3000 	59.0000 	52.5000 	55.1000 	55.1000 	6,110
Dec 10, 2021 	53.3000 	53.5000 	51.5500 	52.8000 	52.8000 	2,020
Dec 9, 2021 	54.0000 	54.3900 	52.6000 	53.0000 	53.0000 	1,690
Dec 8, 2021 	52.0000 	55.9500 	51.1000 	55.3000 	55.3000 	1,190
Dec 7, 2021 	52.0000 	57.2000 	51.1000 	51.3000 	51.3000 	6,420
Dec 6, 2021 	53.3000 	54.4000 	51.1000 	52.2000 	52.2000 	3,710
Dec 3, 2021 	57.9000 	58.7900 	51.4200 	53.4000 	53.4000 	11,470
Dec 2, 2021 	61.3000 	61.3000 	55.6000 	57.8000 	57.8000 	5,240
Dec 1, 2021 	65.0000 	66.2700 	58.6000 	59.1000 	59.1000 	4,760
Nov 30, 2021 	65.8000 	66.8300 	59.4000 	64.4000 	64.4000 	10,190
Nov 29, 2021 	64.9000 	67.0000 	60.6000 	66.0000 	66.0000 	11,920
Nov 26, 2021 	61.4000 	61.4000 	58.1500 	61.4000 	61.4000 	4,070
Nov 24, 2021 	57.5000 	60.5000 	56.5000 	60.5000 	60.5000 	2,790
Nov 23, 2021 	59.8900 	59.8900 	56.0500 	57.0000 	57.0000 	2,540
Nov 22, 2021 	59.1000 	59.9000 	55.8000 	59.6000 	59.6000 	6,230
Nov 19, 2021 	59.0000 	59.8000 	58.1000 	59.1000 	59.1000 	3,800
Nov 18, 2021 	61.5000 	61.5000 	56.9000 	59.8000 	59.8000 	6,980
Nov 17, 2021 	62.2000 	62.2000 	58.9000 	61.0000 	61.0000 	3,570
Nov 16, 2021 	58.6000 	62.5500 	57.1000 	61.6000 	61.6000 	9,130
Nov 15, 2021 	63.0000 	63.0000 	57.9000 	58.9000 	58.9000 	7,260
Nov 12, 2021 	63.9000 	63.9000 	60.8000 	62.2000 	62.2000 	6,770
Nov 11, 2021 	64.1000 	64.4000 	60.6000 	63.2000 	63.2000 	4,040
Nov 10, 2021 	63.3000 	65.3000 	60.7000 	64.5000 	64.5000 	5,500
Nov 9, 2021 	67.5000 	69.3000 	63.2000 	64.9000 	64.9000 	6,330
Nov 8, 2021 	67.4000 	67.4000 	65.3000 	67.3000 	67.3000 	2,390
Nov 5, 2021 	68.0000 	69.5000 	65.1000 	65.8000 	65.8000 	5,950
Nov 4, 2021 	70.0000 	76.0000 	65.9000 	67.5000 	67.5000 	24,630
Nov 3, 2021 	63.1000 	72.0000 	62.6000 	68.8000 	68.8000 	56,600
Nov 2, 2021 	66.0000 	68.5000 	62.7000 	64.1000 	64.1000 	8,310
Nov 1, 2021 	62.1000 	67.6000 	60.1200 	66.0000 	66.0000 	7,840
Oct 29, 2021 	61.9000 	62.5000 	57.8000 	61.2000 	61.2000 	7,720
Oct 28, 2021 	60.8000 	62.5000 	59.1000 	62.3000 	62.3000 	5,550
Oct 27, 2021 	64.7000 	67.4000 	59.6000 	59.7000 	59.7000 	23,810
Oct 26, 2021 	57.7000 	72.5000 	56.2000 	66.4000 	66.4000 	177,140
Oct 25, 2021 	56.1000 	56.1000 	53.5000 	54.6000 	54.6000 	4,360
Oct 22, 2021 	57.4000 	57.4000 	53.4000 	56.0000 	56.0000 	8,660
Oct 21, 2021 	58.5000 	59.9000 	56.7000 	56.9000 	56.9000 	3,710
Oct 20, 2021 	59.9000 	62.5000 	58.4000 	59.6000 	59.6000 	9,270
Oct 19, 2021 	57.8000 	61.0000 	57.1000 	59.8000 	59.8000 	4,260
Oct 18, 2021 	58.9600 	60.3000 	56.6000 	57.8000 	57.8000 	3,510
Oct 15, 2021 	61.1000 	61.8000 	58.3000 	59.0000 	59.0000 	3,500
Oct 14, 2021 	57.8000 	62.2000 	56.6100 	60.8000 	60.8000 	6,120
Oct 13, 2021 	56.3000 	57.7000 	55.0000 	56.6000 	56.6000 	4,350
Oct 12, 2021 	55.3000 	57.9000 	54.7000 	56.3000 	56.3000 	2,790
Oct 11, 2021 	57.4000 	58.1000 	55.0000 	55.3000 	55.3000 	3,850
Oct 8, 2021 	59.8000 	61.4000 	56.5000 	57.4000 	57.4000 	5,430
Oct 7, 2021 	57.0000 	61.9000 	56.1000 	58.8000 	58.8000 	6,880
Oct 6, 2021 	62.0000 	62.0000 	56.1000 	56.5000 	56.5000 	15,900
Oct 5, 2021 	65.3000 	65.3000 	60.0000 	63.0000 	63.0000 	14,020
Oct 4, 2021 	67.5000 	67.7000 	64.6000 	64.9500 	64.9500 	4,450
Oct 1, 2021 	66.9000 	71.7500 	65.1000 	69.9000 	69.9000 	3,770
Sep 30, 2021 	67.6000 	68.8000 	64.9000 	66.9000 	66.9000 	4,550
Sep 29, 2021 	67.8000 	69.9000 	65.6000 	67.3000 	67.3000 	4,530
Sep 28, 2021 	70.9000 	70.9000 	66.5000 	67.0000 	67.0000 	7,090
Sep 27, 2021 	72.9000 	72.9000 	68.2000 	70.7000 	70.7000 	8,320
Sep 24, 2021 	73.9800 	75.0000 	71.5000 	71.8000 	71.8000 	5,110
